"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",7581.38447241377,4533.07481830492,2111.66469708317,5437.04396304149,5685.56390478828,9887.56923171928,10752.05981428,28836.597746448,31125.7522373345,68780.0169875543,88070.9485396338,123825.494185282,122032.119434153,207377.259388918,91105.5214598603,293010.123903116,192489.474540052,348051.446936404,NA,457556.87485927
"2",9744.1652806428,5781.54185046642,3341.98514319951,2379.28584877608,4643.58243613684,10086.4531580269,25616.3137296487,36525.7804721649,73400.1813046367,142711.563510325,180908.657567292,112133.316528981,96860.5372357921,249707.722790262,118022.74658453,143849.942717266,192607.891266262,2765.14828479586,557258.39047313,467991.047394192
"3",6165.88564998752,4943.25880391183,4908.81815969833,9134.17309559243,10709.6880164925,19212.4565275856,28200.332291339,77559.9003341795,94166.0394568693,210103.689585646,277298.774449427,139786.029981559,169291.501775051,210130.411992819,252466.91080105,451544.098877752,NA,413912.38781372,924340.343993226,43465.0542085811
"4",0,0,0,0,0,0,2150.53206900853,0,0,0,0,0,0,0,0,0,0,15631.710861487,25354.8524981851,16251.8088794584
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14239.4164490379,27879.1466651767,7218.54797610089
"6",7760.20419821961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12805.7217966999,3232.13073096922,5786.72823180509
"7",1192936.03825562,2192091.20093491,1739117.03035992,1672216.68954863,1653154.37549677,1358042.6047812,603023.711103552,369700.182311193,344409.933461105,419607.309490234,662788.900864214,691284.056960207,1062592.10135656,1086590.60211844,949172.068306378,885041.350201396,851200.869838903,834406.952779696,1825272.06673106,846217.374905652
"8",2464940.55088564,2357124.761333,1837351.8305729,1688589.27229162,1587021.92422711,1400523.32889985,1109918.29814033,635767.924996106,605363.792252558,60089.6230014735,27052.5913937483,30162.6692384095,62789.7565709618,98224.2959090498,96750.8192328584,244949.509742989,216382.027528523,181814.095528524,393588.551817705,411311.501873031
"9",2409245.0864543,2451799.22754885,2151833.80649505,1699298.62958744,1444438.03555289,1194282.3800448,2403592.95209855,1353130.09355454,1115261.43635336,1435433.8475579,1009632.749767,1038158.71501098,1147423.6416395,1191973.66259271,746014.815044834,11065.5529397198,14688.4616856519,14278.5099071058,12432.3089937794,700161.205573153
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19185.2942532884,NA,45483.469782325
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22137.2036528575,NA,48031.0893050145
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20290.5008407712,NA,40823.6108950379
